week_ending_date,Hokkaido_Observed,Hokkaido_Estimated,Hokkaido_95Upper,Hokkaido_95Lower,Aomori_Observed,Aomori_Estimated,Aomori_95Upper,Aomori_95Lower,Iwate_Observed,Iwate_Estimated,Iwate_95Upper,Iwate_95Lower,Miyagi_Observed,Miyagi_Estimated,Miyagi_95Upper,Miyagi_95Lower,Akita_Observed,Akita_Estimated,Akita_95Upper,Akita_95Lower,Yamagata_Observed,Yamagata_Estimated,Yamagata_95Upper,Yamagata_95Lower,Fukushima_Observed,Fukushima_Estimated,Fukushima_95Upper,Fukushima_95Lower,Ibaraki_Observed,Ibaraki_Estimated,Ibaraki_95Upper,Ibaraki_95Lower,Tochigi_Observed,Tochigi_Estimated,Tochigi_95Upper,Tochigi_95Lower,Gunma_Observed,Gunma_Estimated,Gunma_95Upper,Gunma_95Lower,Saitama_Observed,Saitama_Estimated,Saitama_95Upper,Saitama_95Lower,Chiba_Observed,Chiba_Estimated,Chiba_95Upper,Chiba_95Lower,Tokyo_Observed,Tokyo_Estimated,Tokyo_95Upper,Tokyo_95Lower,Kanagawa_Observed,Kanagawa_Estimated,Kanagawa_95Upper,Kanagawa_95Lower,Niigata_Observed,Niigata_Estimated,Niigata_95Upper,Niigata_95Lower,Toyama_Observed,Toyama_Estimated,Toyama_95Upper,Toyama_95Lower,Ishikawa_Observed,Ishikawa_Estimated,Ishikawa_95Upper,Ishikawa_95Lower,Fukui_Observed,Fukui_Estimated,Fukui_95Upper,Fukui_95Lower,Yamanashi_Observed,Yamanashi_Estimated,Yamanashi_95Upper,Yamanashi_95Lower,Nagano_Observed,Nagano_Estimated,Nagano_95Upper,Nagano_95Lower,Gifu_Observed,Gifu_Estimated,Gifu_95Upper,Gifu_95Lower,Shizuoka_Observed,Shizuoka_Estimated,Shizuoka_95Upper,Shizuoka_95Lower,Aichi_Observed,Aichi_Estimated,Aichi_95Upper,Aichi_95Lower,Mie_Observed,Mie_Estimated,Mie_95Upper,Mie_95Lower,Shiga_Observed,Shiga_Estimated,Shiga_95Upper,Shiga_95Lower,Kyoto_Observed,Kyoto_Estimated,Kyoto_95Upper,Kyoto_95Lower,Osaka_Observed,Osaka_Estimated,Osaka_95Upper,Osaka_95Lower,Hyogo_Observed,Hyogo_Estimated,Hyogo_95Upper,Hyogo_95Lower,Nara_Observed,Nara_Estimated,Nara_95Upper,Nara_95Lower,Wakayama_Observed,Wakayama_Estimated,Wakayama_95Upper,Wakayama_95Lower,Tottori_Observed,Tottori_Estimated,Tottori_95Upper,Tottori_95Lower,Shimane_Observed,Shimane_Estimated,Shimane_95Upper,Shimane_95Lower,Okayama_Observed,Okayama_Estimated,Okayama_95Upper,Okayama_95Lower,Hiroshima_Observed,Hiroshima_Estimated,Hiroshima_95Upper,Hiroshima_95Lower,Yamaguchi_Observed,Yamaguchi_Estimated,Yamaguchi_95Upper,Yamaguchi_95Lower,Tokushima_Observed,Tokushima_Estimated,Tokushima_95Upper,Tokushima_95Lower,Kagawa_Observed,Kagawa_Estimated,Kagawa_95Upper,Kagawa_95Lower,Ehime_Observed,Ehime_Estimated,Ehime_95Upper,Ehime_95Lower,Kochi_Observed,Kochi_Estimated,Kochi_95Upper,Kochi_95Lower,Fukuoka_Observed,Fukuoka_Estimated,Fukuoka_95Upper,Fukuoka_95Lower,Saga_Observed,Saga_Estimated,Saga_95Upper,Saga_95Lower,Nagasaki_Observed,Nagasaki_Estimated,Nagasaki_95Upper,Nagasaki_95Lower,Kumamoto_Observed,Kumamoto_Estimated,Kumamoto_95Upper,Kumamoto_95Lower,Oita_Observed,Oita_Estimated,Oita_95Upper,Oita_95Lower,Miyazaki_Observed,Miyazaki_Estimated,Miyazaki_95Upper,Miyazaki_95Lower,Kagoshima_Observed,Kagoshima_Estimated,Kagoshima_95Upper,Kagoshima_95Lower,Okinawa_Observed,Okinawa_Estimated,Okinawa_95Upper,Okinawa_95Lower,Japan_Observed,Japan_Estimated,Japan_95Upper,Japan_95Lower
01jan2017,71,76,91,62,25,27,35,19,40,27,36,18,44,50,62,39,21,25,33,17,27,36,46,26,41,51,63,39,54,53,65,41,35,38,49,28,35,35,45,26,87,91,107,76,94,94,111,79,162,177,201,154,151,154,176,132,58,61,75,48,14,18,25,11,21,19,27,12,12,17,24,11,19,22,30,15,49,58,71,46,44,43,55,32,106,99,116,83,132,117,135,100,31,42,54,31,17,21,28,13,37,40,50,30,79,91,108,76,110,84,100,69,20,22,31,15,24,27,35,18,17,15,22,9,26,22,30,14,35,36,47,27,57,56,69,44,25,26,35,18,15,18,26,12,22,22,30,14,37,36,47,27,11,16,22,9,60,59,72,46,7,13,19,7,26,23,32,16,41,40,51,30,22,21,29,14,19,21,29,14,21,37,48,28,10,18,26,12,2111,2167,2303,2036
08jan2017,69,76,91,62,24,27,36,19,25,27,36,19,39,50,62,38,30,25,33,17,23,36,46,26,32,51,63,40,61,53,65,41,47,39,49,29,26,35,45,25,80,92,109,77,78,96,113,80,186,180,203,157,149,156,178,134,49,61,75,49,24,18,25,11,19,19,27,12,15,18,25,11,13,22,30,15,57,57,70,45,41,44,56,34,97,100,116,84,138,119,137,101,40,41,52,30,15,20,27,13,50,40,51,30,110,92,109,77,79,86,103,71,19,23,32,14,20,26,35,18,12,16,23,9,19,22,31,15,49,37,48,28,52,57,71,45,16,27,36,18,19,18,25,12,26,22,30,15,41,37,47,27,15,16,22,9,54,60,73,47,19,13,19,7,16,24,32,16,42,40,51,30,21,21,29,14,14,22,30,15,42,38,48,28,13,19,27,12,2125,2189,2322,2060
15jan2017,94,77,92,63,24,26,34,18,30,28,37,20,46,49,61,38,20,25,33,17,32,35,45,26,39,51,63,39,66,54,66,42,42,38,48,28,26,36,46,26,78,92,108,76,92,95,111,79,186,179,203,157,142,157,179,135,70,61,75,48,27,18,25,11,15,19,27,12,18,18,25,11,22,23,31,15,53,58,71,46,54,44,55,33,104,101,118,85,117,119,138,101,32,40,52,29,17,20,27,13,38,40,51,30,107,93,109,77,87,87,103,72,24,23,32,15,25,26,35,18,17,16,24,10,27,23,31,15,36,38,48,28,44,58,71,45,20,26,35,18,25,19,27,12,18,22,30,15,35,38,48,28,9,15,22,9,57,59,72,47,11,13,19,8,24,24,32,16,37,41,51,31,18,20,27,13,14,22,30,14,33,36,46,27,12,19,27,12,2164,2196,2330,2066
22jan2017,89,78,93,64,32,26,35,18,37,27,37,19,58,50,62,39,22,25,33,17,21,35,45,26,44,51,63,39,51,54,66,42,47,39,49,29,38,36,46,26,89,90,107,75,85,96,113,81,167,179,201,157,146,158,181,136,57,60,74,47,22,18,25,11,20,20,28,13,28,18,26,12,28,23,31,15,58,58,71,46,46,46,58,35,101,102,118,85,128,122,141,103,50,42,53,31,18,20,28,13,40,40,51,30,104,92,108,76,91,90,106,74,20,22,31,14,18,26,35,18,14,17,24,10,18,23,31,15,46,37,48,28,46,57,70,45,33,27,35,18,14,20,28,13,25,23,31,15,38,38,49,29,19,14,21,9,51,60,73,47,12,14,20,8,21,24,32,16,40,42,53,32,16,20,28,13,22,21,29,14,43,37,48,28,14,19,27,13,2227,2207,2332,2084
29jan2017,64,77,92,63,21,27,35,18,30,27,36,18,35,50,62,38,27,24,32,16,25,35,45,26,33,50,62,39,59,54,67,42,41,38,49,28,22,36,47,27,65,88,104,73,97,96,113,80,182,176,199,154,144,157,179,136,60,60,74,47,19,19,27,12,24,20,28,12,12,17,24,11,28,24,33,17,57,58,71,45,52,47,59,35,111,101,118,85,139,121,139,103,42,42,53,31,16,19,27,12,35,40,50,30,95,92,108,77,97,90,106,74,28,22,31,14,21,26,35,18,21,17,24,11,17,22,29,14,53,37,47,27,73,56,69,44,27,27,36,19,16,20,27,13,22,23,31,16,48,38,49,29,9,15,21,9,49,59,72,47,10,13,20,8,12,24,32,16,42,41,52,31,17,20,28,13,15,22,30,14,31,36,46,26,15,19,27,13,2158,2193,2321,2067
05feb2017,59,76,91,62,24,26,34,18,32,26,35,18,27,50,62,39,26,24,32,16,32,35,46,26,35,49,61,38,56,54,67,42,40,37,48,28,33,36,46,26,82,88,104,73,82,95,111,79,194,175,198,153,134,155,177,134,60,60,73,47,16,19,27,12,19,20,28,12,17,17,24,11,25,24,33,16,57,57,69,45,51,47,59,35,91,102,119,85,130,123,141,105,37,42,53,31,19,19,27,12,42,41,51,30,111,91,107,75,82,88,105,73,18,22,31,14,33,27,36,19,13,17,25,11,17,21,29,14,38,35,45,26,58,56,69,44,30,27,36,19,14,19,26,12,28,23,31,15,50,38,49,28,8,15,22,9,69,60,73,47,19,13,19,8,27,24,33,16,38,42,53,32,18,20,27,13,19,22,30,14,32,34,44,24,9,19,27,12,2151,2179,2313,2047
12feb2017,68,77,92,63,17,27,35,18,24,26,35,18,49,49,60,38,29,23,32,16,38,35,45,26,42,49,61,38,46,56,68,44,41,37,47,27,35,36,46,26,76,86,102,70,96,94,111,78,214,174,197,151,155,153,175,132,63,61,75,48,13,21,29,13,19,19,27,12,19,16,23,10,18,23,31,15,64,57,69,45,47,47,59,36,104,104,121,87,139,121,139,103,40,41,52,30,30,19,27,12,30,40,51,30,95,92,108,76,85,89,105,73,21,22,31,14,29,27,36,19,18,18,25,11,26,21,29,14,37,35,45,26,38,54,67,41,16,28,37,19,12,19,26,12,24,23,31,15,34,38,48,28,9,16,23,10,60,59,72,46,14,13,20,8,21,23,31,16,41,40,51,30,22,20,28,13,31,21,29,14,36,35,45,26,12,20,27,13,2197,2169,2304,2038
19feb2017,66,76,91,62,22,25,34,17,26,26,35,18,39,49,60,38,32,23,31,15,30,34,44,25,46,48,60,37,53,55,67,43,43,36,46,26,37,36,46,26,76,83,98,68,89,92,108,76,194,171,194,149,141,149,171,129,52,61,75,48,25,21,29,13,26,18,26,11,8,16,22,9,20,22,30,15,49,56,69,44,35,46,58,35,111,102,119,86,120,121,140,102,52,41,52,30,25,18,26,12,45,40,50,30,87,89,105,74,99,87,103,72,17,22,31,14,29,27,35,18,24,17,25,11,24,21,29,14,42,36,46,26,44,53,66,41,30,28,37,19,14,18,26,12,21,23,31,15,31,37,47,27,11,16,23,10,45,57,69,45,9,13,20,8,29,23,32,16,36,40,51,30,21,19,27,12,19,21,29,14,34,35,45,26,15,18,26,12,2143,2141,2274,2012
26feb2017,72,76,91,62,26,25,33,17,27,26,35,18,54,48,59,37,24,22,30,15,29,34,43,24,33,49,61,37,57,54,67,42,41,35,45,25,37,35,45,25,78,82,97,68,93,91,107,75,175,169,191,147,146,145,167,124,47,60,73,47,21,20,28,13,33,19,26,12,14,15,21,9,19,22,30,15,59,57,70,45,33,44,56,33,119,101,118,85,108,117,136,100,47,41,52,31,21,19,27,12,32,38,48,28,84,87,103,72,91,86,102,70,28,22,31,14,31,27,36,19,19,17,24,10,25,20,28,13,37,35,44,25,37,50,62,39,25,27,35,18,20,18,25,11,28,24,32,16,42,36,47,27,11,16,23,10,60,56,68,44,9,13,19,7,24,23,31,16,38,39,50,29,20,19,26,12,16,20,28,13,47,35,45,25,18,18,25,11,2155,2100,2227,1975
05mar2017,66,76,91,62,33,25,34,17,27,25,34,17,36,47,59,36,26,22,30,15,31,33,43,24,40,46,58,36,42,54,67,43,24,34,44,25,28,34,44,25,82,81,97,67,92,91,107,76,193,166,188,146,144,144,166,124,63,60,74,47,24,21,29,14,23,19,27,12,11,14,21,8,18,22,30,15,50,56,69,44,39,44,56,32,88,100,116,84,120,116,135,98,46,40,52,30,10,19,27,12,36,38,48,28,101,86,102,71,74,84,100,69,13,22,30,14,31,28,36,19,17,17,24,10,24,20,28,13,40,34,44,25,38,50,62,38,17,27,36,19,17,17,24,10,28,24,33,16,29,35,45,26,9,16,23,10,45,56,69,44,9,12,18,7,28,23,31,16,40,39,50,29,21,19,26,12,17,20,28,13,35,36,46,26,18,17,24,11,2043,2082,2215,1953
