week_ending_date,Hokkaido_Observed,Hokkaido_Estimated,Hokkaido_95Upper,Hokkaido_95Lower,Aomori_Observed,Aomori_Estimated,Aomori_95Upper,Aomori_95Lower,Iwate_Observed,Iwate_Estimated,Iwate_95Upper,Iwate_95Lower,Miyagi_Observed,Miyagi_Estimated,Miyagi_95Upper,Miyagi_95Lower,Akita_Observed,Akita_Estimated,Akita_95Upper,Akita_95Lower,Yamagata_Observed,Yamagata_Estimated,Yamagata_95Upper,Yamagata_95Lower,Fukushima_Observed,Fukushima_Estimated,Fukushima_95Upper,Fukushima_95Lower,Ibaraki_Observed,Ibaraki_Estimated,Ibaraki_95Upper,Ibaraki_95Lower,Tochigi_Observed,Tochigi_Estimated,Tochigi_95Upper,Tochigi_95Lower,Gunma_Observed,Gunma_Estimated,Gunma_95Upper,Gunma_95Lower,Saitama_Observed,Saitama_Estimated,Saitama_95Upper,Saitama_95Lower,Chiba_Observed,Chiba_Estimated,Chiba_95Upper,Chiba_95Lower,Tokyo_Observed,Tokyo_Estimated,Tokyo_95Upper,Tokyo_95Lower,Kanagawa_Observed,Kanagawa_Estimated,Kanagawa_95Upper,Kanagawa_95Lower,Niigata_Observed,Niigata_Estimated,Niigata_95Upper,Niigata_95Lower,Toyama_Observed,Toyama_Estimated,Toyama_95Upper,Toyama_95Lower,Ishikawa_Observed,Ishikawa_Estimated,Ishikawa_95Upper,Ishikawa_95Lower,Fukui_Observed,Fukui_Estimated,Fukui_95Upper,Fukui_95Lower,Yamanashi_Observed,Yamanashi_Estimated,Yamanashi_95Upper,Yamanashi_95Lower,Nagano_Observed,Nagano_Estimated,Nagano_95Upper,Nagano_95Lower,Gifu_Observed,Gifu_Estimated,Gifu_95Upper,Gifu_95Lower,Shizuoka_Observed,Shizuoka_Estimated,Shizuoka_95Upper,Shizuoka_95Lower,Aichi_Observed,Aichi_Estimated,Aichi_95Upper,Aichi_95Lower,Mie_Observed,Mie_Estimated,Mie_95Upper,Mie_95Lower,Shiga_Observed,Shiga_Estimated,Shiga_95Upper,Shiga_95Lower,Kyoto_Observed,Kyoto_Estimated,Kyoto_95Upper,Kyoto_95Lower,Osaka_Observed,Osaka_Estimated,Osaka_95Upper,Osaka_95Lower,Hyogo_Observed,Hyogo_Estimated,Hyogo_95Upper,Hyogo_95Lower,Nara_Observed,Nara_Estimated,Nara_95Upper,Nara_95Lower,Wakayama_Observed,Wakayama_Estimated,Wakayama_95Upper,Wakayama_95Lower,Tottori_Observed,Tottori_Estimated,Tottori_95Upper,Tottori_95Lower,Shimane_Observed,Shimane_Estimated,Shimane_95Upper,Shimane_95Lower,Okayama_Observed,Okayama_Estimated,Okayama_95Upper,Okayama_95Lower,Hiroshima_Observed,Hiroshima_Estimated,Hiroshima_95Upper,Hiroshima_95Lower,Yamaguchi_Observed,Yamaguchi_Estimated,Yamaguchi_95Upper,Yamaguchi_95Lower,Tokushima_Observed,Tokushima_Estimated,Tokushima_95Upper,Tokushima_95Lower,Kagawa_Observed,Kagawa_Estimated,Kagawa_95Upper,Kagawa_95Lower,Ehime_Observed,Ehime_Estimated,Ehime_95Upper,Ehime_95Lower,Kochi_Observed,Kochi_Estimated,Kochi_95Upper,Kochi_95Lower,Fukuoka_Observed,Fukuoka_Estimated,Fukuoka_95Upper,Fukuoka_95Lower,Saga_Observed,Saga_Estimated,Saga_95Upper,Saga_95Lower,Nagasaki_Observed,Nagasaki_Estimated,Nagasaki_95Upper,Nagasaki_95Lower,Kumamoto_Observed,Kumamoto_Estimated,Kumamoto_95Upper,Kumamoto_95Lower,Oita_Observed,Oita_Estimated,Oita_95Upper,Oita_95Lower,Miyazaki_Observed,Miyazaki_Estimated,Miyazaki_95Upper,Miyazaki_95Lower,Kagoshima_Observed,Kagoshima_Estimated,Kagoshima_95Upper,Kagoshima_95Lower,Okinawa_Observed,Okinawa_Estimated,Okinawa_95Upper,Okinawa_95Lower,Japan_Observed,Japan_Estimated,Japan_95Upper,Japan_95Lower
01jan2017,18,15,22,9,3,5,8,1,4,5,9,2,5,8,13,4,3,4,7,1,1,4,7,1,9,6,10,2,8,10,15,5,5,6,10,2,11,7,12,3,13,22,30,15,22,20,27,13,30,40,51,29,25,26,35,17,5,8,13,3,4,4,7,1,2,0,0,0,2,3,5,0,3,3,5,0,2,7,11,3,3,7,11,3,8,12,17,6,16,20,28,12,4,5,9,2,4,5,8,1,3,8,13,4,30,28,37,19,17,16,23,10,1,5,8,1,2,4,8,1,1,2,5,0,2,3,5,0,2,6,10,2,10,8,13,3,3,5,9,1,3,3,6,0,2,3,6,0,5,5,9,2,1,2,5,0,11,15,21,9,6,3,6,0,1,5,8,1,6,6,10,2,2,4,7,1,0,5,8,1,4,5,9,2,7,6,10,2,329,375,426,326
08jan2017,18,16,23,10,4,5,9,1,6,5,9,2,8,8,12,3,4,4,7,1,4,3,6,0,14,6,10,2,10,10,16,5,2,7,11,3,7,8,13,3,23,23,31,15,15,21,29,14,43,40,51,29,27,26,35,17,9,8,13,3,5,4,7,1,3,3,6,0,2,3,5,0,2,3,6,0,5,6,10,2,4,7,12,3,9,12,18,7,12,21,30,13,9,6,10,2,2,5,9,1,4,8,13,4,20,30,40,20,14,16,23,10,3,4,8,1,2,4,8,1,1,2,5,0,3,3,5,0,6,6,10,2,6,8,13,3,4,5,9,2,3,3,6,0,1,4,7,1,2,5,9,2,1,3,6,0,14,15,22,9,3,3,5,0,3,5,9,1,5,6,10,2,6,4,7,1,4,5,9,2,6,5,9,2,2,6,10,2,360,384,441,330
15jan2017,14,17,24,10,4,5,8,1,2,5,9,2,6,8,13,4,7,4,7,1,2,4,7,1,2,7,11,3,6,10,15,5,6,7,11,3,9,8,13,3,23,23,32,16,19,22,30,14,44,40,51,29,28,26,35,17,3,8,13,3,4,4,7,1,5,3,5,0,2,3,5,0,2,3,5,0,3,6,10,2,5,7,12,3,10,12,18,7,26,20,29,12,6,5,10,2,6,5,8,1,8,8,13,4,24,30,40,21,20,16,23,10,2,4,8,1,3,5,8,1,2,2,5,0,2,3,5,0,4,6,10,2,10,8,13,3,5,5,8,1,2,3,6,0,2,4,7,1,10,6,9,2,1,0,0,0,22,15,22,9,3,3,5,0,1,5,9,1,4,6,10,2,8,4,7,1,7,5,8,1,5,5,9,1,7,6,10,2,396,382,437,330
22jan2017,19,17,24,10,4,5,8,1,5,5,8,1,10,8,13,4,4,4,7,1,3,4,8,1,6,7,11,3,15,10,15,5,6,7,11,3,4,8,13,3,22,24,32,16,22,21,28,13,31,40,51,29,23,25,33,17,7,8,13,4,2,4,7,1,7,3,6,0,3,3,6,0,1,3,6,0,6,6,10,2,7,7,12,3,16,12,18,7,24,20,28,12,6,6,10,2,3,4,8,1,6,9,14,4,24,31,41,21,19,16,23,10,4,4,8,1,3,5,8,1,1,2,5,0,3,3,5,0,3,6,10,2,9,8,13,4,4,5,8,1,2,3,6,1,0,4,7,1,5,5,9,2,2,2,5,0,13,16,23,10,0,2,5,0,2,5,8,1,4,6,10,2,5,4,7,1,4,5,8,1,5,5,8,1,6,6,10,2,380,384,433,336
29jan2017,17,17,24,10,3,5,8,1,7,5,9,2,8,9,14,4,4,4,8,1,4,4,7,1,11,7,11,3,13,10,15,5,9,7,11,3,5,8,13,3,18,24,32,16,21,21,29,14,26,41,52,30,25,25,34,17,8,9,14,4,7,4,7,1,2,3,6,0,3,3,6,0,3,3,6,0,12,6,10,2,6,8,12,3,6,12,18,6,27,21,29,13,6,6,11,2,2,4,8,1,6,8,13,4,28,30,40,21,21,16,23,10,4,4,8,1,6,5,8,1,1,2,5,0,2,3,5,0,5,6,10,2,13,9,14,4,4,5,8,1,2,3,6,1,5,4,7,1,2,5,9,2,1,3,6,0,14,17,24,10,2,3,5,0,7,5,9,1,7,6,10,2,2,3,6,1,5,5,8,1,2,5,8,1,4,6,10,2,396,390,435,346
05feb2017,16,17,24,10,3,5,9,1,5,5,9,2,9,9,14,4,5,5,8,1,2,4,7,1,9,7,12,3,14,10,16,5,13,7,12,3,10,8,13,3,25,24,32,16,19,22,30,14,56,41,52,31,26,26,35,17,7,9,14,4,3,4,8,1,4,3,6,0,2,3,6,0,2,3,6,0,3,6,10,2,6,7,12,3,7,12,18,6,21,21,30,13,6,7,11,2,3,5,9,1,7,8,12,3,25,30,40,21,25,17,24,11,3,4,8,1,2,5,8,1,1,2,5,0,3,3,5,0,8,6,10,2,8,9,14,4,4,5,8,1,5,3,6,1,2,4,7,1,7,6,10,2,3,3,5,0,14,17,24,10,2,3,6,0,4,5,9,1,7,6,10,2,1,3,6,1,6,5,9,2,9,5,9,1,3,6,10,2,425,399,451,350
12feb2017,19,17,24,10,6,5,8,1,2,6,9,2,6,8,13,4,3,5,8,1,4,4,8,1,6,8,12,3,4,10,16,5,7,7,11,3,5,8,13,4,27,24,33,16,12,22,30,14,31,41,52,30,24,26,36,17,11,9,15,4,3,4,8,1,1,3,6,1,1,3,6,0,4,3,6,0,6,6,10,2,4,7,12,3,15,12,18,7,15,21,29,13,3,7,12,3,4,5,9,2,6,8,13,4,36,30,40,21,17,18,25,11,2,4,8,1,5,5,8,1,1,0,0,0,0,3,6,0,4,6,10,2,11,8,13,4,6,5,8,1,2,3,7,1,5,3,7,1,4,6,10,2,4,2,5,0,13,17,24,10,0,0,0,0,6,5,9,2,2,6,10,2,3,4,7,1,4,5,9,2,5,5,9,2,5,6,10,2,364,405,462,350
19feb2017,19,17,24,10,6,4,8,1,7,6,10,2,9,8,13,4,2,5,8,1,8,4,8,1,8,8,12,3,9,10,16,5,6,7,11,3,1,8,14,4,23,24,32,16,14,22,30,14,43,41,52,31,14,26,35,17,12,9,14,4,4,4,8,1,7,4,7,1,2,3,6,1,0,3,6,0,8,7,11,3,9,7,12,3,14,13,18,7,25,20,29,12,9,7,12,3,3,5,9,1,9,8,13,4,39,30,40,20,13,18,25,11,4,4,7,1,1,5,8,1,2,2,5,0,2,3,6,0,4,6,10,2,6,9,14,4,3,5,8,1,5,3,6,1,2,4,7,1,6,6,10,2,0,3,5,0,12,17,24,10,8,3,6,0,4,5,9,2,7,7,11,3,5,4,7,1,3,5,9,2,4,5,9,2,0,5,9,2,401,404,463,348
26feb2017,19,17,24,10,3,5,8,1,5,6,10,2,7,8,13,4,4,5,8,1,4,4,8,1,6,8,13,4,12,11,16,5,7,7,11,3,5,9,14,4,35,23,30,15,14,21,29,14,39,41,52,31,20,26,35,18,6,9,14,4,4,5,8,1,1,4,7,1,1,3,6,0,2,3,6,1,5,7,11,3,12,7,11,3,15,13,18,7,19,20,29,12,4,7,12,3,4,5,9,1,6,8,13,4,28,29,39,20,15,18,25,11,2,4,8,1,5,5,8,1,2,2,5,0,3,3,6,0,5,6,10,2,7,9,15,4,7,5,8,1,2,3,6,1,3,3,7,1,9,6,10,2,3,2,5,0,17,17,24,11,4,3,6,0,3,5,9,2,10,7,11,3,4,4,7,1,3,5,9,1,8,5,9,2,4,5,9,2,403,405,462,350
05mar2017,19,17,24,10,5,5,9,2,7,6,11,2,12,8,13,4,3,5,9,2,4,4,8,1,3,8,13,4,12,11,16,5,6,7,11,3,8,9,14,4,20,23,32,16,17,22,29,14,44,42,53,31,25,28,37,19,10,10,15,4,2,5,9,2,3,4,7,1,2,3,6,1,1,4,7,1,5,8,12,3,13,7,12,3,17,13,19,7,19,21,29,13,10,7,12,3,6,5,9,2,10,8,13,4,30,29,38,20,16,18,26,12,4,4,7,1,5,5,8,1,1,2,5,0,3,3,6,1,7,7,11,3,11,10,15,5,5,5,8,1,2,3,6,0,7,3,6,0,5,6,10,2,2,3,5,0,29,18,25,11,2,3,6,0,4,5,9,2,4,7,11,3,3,4,7,1,0,5,9,2,9,5,9,2,2,5,9,2,434,418,469,369
