"date","exdeath_循環器の病気","exdeath_呼吸器の病気","exdeath_老衰","exdeath_4w_循環器の病気","exdeath_4w_呼吸器の病気","exdeath_4w_老衰"
"2020-01-05",-118,127,-34,NA,NA,NA
"2020-01-12",-729,51,-10,NA,NA,NA
"2020-01-19",-901,-71,-66,NA,NA,NA
"2020-01-26",-1159,-178,-177,-726.75,-17.75,-71.75
"2020-02-02",-1030,-305,-245,-954.75,-125.75,-124.5
"2020-02-09",-918,-504,-242,-1002,-264.5,-182.5
"2020-02-16",-528,-191,-107,-908.75,-294.5,-192.75
"2020-02-23",-949,-337,-190,-856.25,-334.25,-196
"2020-03-01",-629,-165,-148,-756,-299.25,-171.75
"2020-03-08",-690,-253,-58,-699,-236.5,-125.75
"2020-03-15",-549,-260,-150,-704.25,-253.75,-136.5
"2020-03-22",-455,-105,2,-580.75,-195.75,-88.5
"2020-03-29",-587,-137,-124,-570.25,-188.75,-82.5
"2020-04-05",-383,-134,-69,-493.5,-159,-85.25
"2020-04-12",-240,-168,8,-416.25,-136,-45.75
"2020-04-19",138,-53,67,-268,-123,-29.5
"2020-04-26",93,-39,91,-98,-98.5,24.25
"2020-05-03",281,71,232,68,-47.25,99.5
"2020-05-10",-144,-86,-16,92,-26.75,93.5
"2020-05-17",-267,-239,-18,-9.25,-73.25,72.25
"2020-05-24",-325,-382,-118,-113.75,-159,20
"2020-05-31",-154,-298,53,-222.5,-251.25,-24.75
"2020-06-07",-136,-231,79,-220.5,-287.5,-1
"2020-06-14",-392,-394,59,-251.75,-326.25,18.25
"2020-06-21",-356,-345,-2,-259.5,-317,47.25
"2020-06-28",-272,-297,154,-289,-316.75,72.5
"2020-07-05",-163,-345,67,-295.75,-345.25,69.5
"2020-07-12",-370,-176,21,-290.25,-290.75,60
"2020-07-19",-175,-454,-154,-245,-318,22
"2020-07-26",-290,-208,106,-249.5,-295.75,10
"2020-08-02",-337,-230,-44,-293,-267,-17.75
"2020-08-09",-95,-281,43,-224.25,-293.25,-12.25
"2020-08-16",770,-223,26,12,-235.5,32.75
"2020-08-23",119,-88,-89,114.25,-205.5,-16
"2020-08-30",-115,-335,57,169.75,-231.75,9.25
"2020-09-06",-125,-366,3,162.25,-253,-0.75
"2020-09-13",-104,-290,63,-56.25,-269.75,8.5
"2020-09-20",-71,-251,-24,-103.75,-310.5,24.75
"2020-09-27",28,-124,-33,-68,-257.75,2.25
"2020-10-04",-22,-106,84,-42.25,-192.75,22.5
"2020-10-11",54,-216,-36,-2.75,-174.25,-2.25
"2020-10-18",-13,-154,-24,11.75,-150,-2.25
"2020-10-25",131,-188,149,37.5,-166,43.25
"2020-11-01",296,-88,99,117,-161.5,47
"2020-11-08",185,-35,168,149.75,-116.25,98
"2020-11-15",-33,-195,-36,144.75,-126.5,95
"2020-11-22",-384,-97,123,16,-103.75,88.5
"2020-11-29",-679,-352,-48,-227.75,-169.75,51.75
"2020-12-06",130,-362,57,-241.5,-251.5,24
"2020-12-13",-194,-181,-26,-281.75,-248,26.5
"2020-12-20",543,-169,113,-50,-266,24
"2020-12-27",259,-133,205,184.5,-211.25,87.25
"2021-01-03",338,-69,160,236.5,-138,113
"2021-01-10",505,-136,98,411.25,-126.75,144
"2021-01-17",615,100,278,429.25,-59.5,185.25
"2021-01-24",44,-151,113,375.5,-64,162.25
"2021-01-31",-554,-334,-20,152.5,-130.25,117.25
"2021-02-07",-199,-361,66,-23.5,-186.5,109.25
"2021-02-14",-37,-240,112,-186.5,-271.5,67.75
"2021-02-21",118,-272,-22,-168,-301.75,34
"2021-02-28",99,-259,-2,-4.75,-283,38.5
"2021-03-07",11,-141,48,47.75,-228,34
"2021-03-14",-7,-184,-37,55.25,-214,-3.25
"2021-03-21",35,-70,36,34.5,-163.5,11.25
"2021-03-28",-51,25,33,-3,-92.5,20
"2021-04-04",-108,15,82,-32.75,-53.5,28.5
"2021-04-11",142,-100,39,4.5,-32.5,47.5
"2021-04-18",405,66,330,97,1.5,121
"2021-04-25",511,227,243,237.5,52,173.5
"2021-05-02",646,222,305,426,103.75,229.25
"2021-05-09",576,299,313,534.5,203.5,297.75
"2021-05-16",438,398,224,542.75,286.5,271.25
"2021-05-23",230,272,149,472.5,297.75,247.75
"2021-05-30",307,227,139,387.75,299,206.25
"2021-06-06",619,276,264,398.5,293.25,194
"2021-06-13",407,349,296,390.75,281,212
"2021-06-20",262,171,187,398.75,255.75,221.5
"2021-06-27",84,148,76,343,236,205.75
"2021-07-04",307,257,120,265,231.25,169.75
"2021-07-11",178,243,70,207.75,204.75,113.25
"2021-07-18",311,103,112,220,187.75,94.5
"2021-07-25",424,218,276,305,205.25,144.5
"2021-08-01",514,318,197,356.75,220.5,163.75
"2021-08-08",291,286,174,385,231.25,189.75
"2021-08-15",314,300,119,385.75,280.5,191.5
"2021-08-22",595,447,166,428.5,337.75,164
"2021-08-29",275,535,285,368.75,392,186
"2021-09-05",323,350,342,376.75,408,228
"2021-09-12",353,407,248,386.5,434.75,260.25
"2021-09-19",287,348,233,309.5,410,277
"2021-09-26",241,305,232,301,352.5,263.75
"2021-10-03",224,261,214,276.25,330.25,231.75
"2021-10-10",54,260,182,201.5,293.5,215.25
"2021-10-17",-142,37,-22,94.25,215.75,151.5
"2021-10-24",365,93,199,125.25,162.75,143.25
"2021-10-31",604,306,338,220.25,174,174.25
"2021-11-07",130,130,177,239.25,141.5,173
"2021-11-14",59,15,28,289.5,136,185.5
"2021-11-21",109,147,77,225.5,149.5,155
"2021-11-28",150,98,117,112,97.5,99.75
"2021-12-05",566,86,77,221,86.5,74.75
"2021-12-12",107,-13,122,233,79.5,98.25
"2021-12-19",62,-110,-16,221.25,15.25,75
"2021-12-26",-163,-53,11,143,-22.5,48.5
"2022-01-02",912,-26,114,229.5,-50.5,57.75
"2022-01-09",916,-21,276,431.75,-52.5,96.25
"2022-01-16",374,65,99,509.75,-8.75,125
"2022-01-23",269,83,91,617.75,25.25,145
"2022-01-30",101,4,348,415,32.75,203.5
"2022-02-06",693,63,295,359.25,53.75,208.25
"2022-02-13",1237,268,460,575,104.5,298.5
"2022-02-20",1519,369,351,887.5,176,363.5
"2022-02-27",1552,538,636,1250.25,309.5,435.5
"2022-03-06",1273,385,438,1395.25,390,471.25
"2022-03-13",904,516,360,1312,452,446.25
"2022-03-20",508,195,188,1059.25,408.5,405.5
"2022-03-27",674,260,329,839.75,339,328.75
"2022-04-03",543,163,117,657.25,283.5,248.5
"2022-04-10",559,301,184,571,229.75,204.5
"2022-04-17",229,228,18,501.25,238,162
"2022-04-24",172,164,-9,375.75,214,77.5
"2022-05-01",134,25,24,273.5,179.5,54.25
"2022-05-08",503,203,214,259.5,155,61.75
"2022-05-15",487,299,62,324,172.75,72.75
"2022-05-22",458,149,102,395.5,169,100.5
"2022-05-29",298,351,55,436.5,250.5,108.25
"2022-06-05",277,249,-18,380,262,50.25
"2022-06-12",268,331,3,325.25,270,35.5
"2022-06-19",337,156,177,295,271.75,54.25
"2022-06-26",339,205,121,305.25,235.25,70.75
"2022-07-03",668,260,-104,403,238,49.25
"2022-07-10",84,278,37,357,224.75,57.75
"2022-07-17",27,180,-62,279.5,230.75,-2
"2022-07-24",191,393,19,242.5,277.75,-27.5
"2022-07-31",560,381,196,215.5,308,47.5
"2022-08-07",846,479,381,406,358.25,133.5
"2022-08-14",831,604,272,607,464.25,217
"2022-08-21",747,619,280,746,520.75,282.25
"2022-08-28",639,579,408,765.75,570.25,335.25
"2022-09-04",644,651,576,715.25,613.25,384
"2022-09-11",379,594,322,602.25,610.75,396.5
"2022-09-18",251,554,329,478.25,594.5,408.75
"2022-09-25",171,569,417,361.25,592,411
"2022-10-02",169,445,460,242.5,540.5,382
"2022-10-09",190,344,442,195.25,478,412
"2022-10-16",326,576,479,214,483.5,449.5
"2022-10-23",269,420,230,238.5,446.25,402.75
"2022-10-30",172,361,288,239.25,425.25,359.75
"2022-11-06",469,535,317,309,473,328.5
"2022-11-13",318,583,343,307,474.75,294.5
"2022-11-20",68,351,-15,256.75,457.5,233.25
"2022-11-27",-141,394,217,178.5,465.75,215.5
