pref,population2020,under15,between15_64,over65
愛知県,7542415,973642,4502713,1864603
愛媛県,1334841,153764,711738,434279
茨城県,2867009,333741,1638165,839907
岡山県,1888432,229352,1032394,557991
沖縄県,1467480,243246,871154,324708
岩手県,1210534,132447,658816,404359
岐阜県,1978742,240520,1105215,593751
宮崎県,1069576,139773,568255,344543
宮城県,2301996,268428,1346845,638984
京都府,2578087,293465,1467216,734493
熊本県,1738301,228366,944198,540538
群馬県,1939110,224304,1096231,576729
広島県,2799702,352678,1580054,811931
香川県,950244,113757,518056,296533
高知県,691527,74946,362200,241787
佐賀県,811442,108241,443579,246061
埼玉県,7344765,858384,4335188,1934994
三重県,1770254,211090,997052,522073
山形県,1068027,120086,578819,359554
山口県,1342059,153608,709992,459957
山梨県,809974,91629,453633,245884
滋賀県,1413610,191369,824781,365311
鹿児島県,1588256,205381,832194,505891
秋田県,959502,92673,500687,357568
新潟県,2201272,247480,1210917,715935
神奈川県,9237337,1085763,5628918,2308578
青森県,1237984,129112,676167,412943
静岡県,3633202,438723,2071258,1084282
石川県,1132526,137096,641383,333660
千葉県,6284480,734496,3715691,1699991
大阪府,8837685,1029499,5199504,2361723
大分県,1123852,135272,596527,369192
長崎県,1312317,164303,706077,430353
長野県,2048011,242873,1118429,646942
鳥取県,553407,68330,300002,177046
島根県,671126,81641,352656,227881
東京都,14047594,1566840,8944193,3107822
徳島県,719559,77129,375657,238346
栃木県,1933146,227553,1115611,554381
奈良県,1324473,154271,737675,414576
富山県,1034814,115177,568052,333008
福井県,766863,95544,427984,232684
福岡県,5135214,662179,2911353,1395142
福島県,1833152,206152,1020241,572825
兵庫県,5465002,660205,3075863,1546543
北海道,5224614,555804,2945727,1664023
和歌山県,922584,105360,503704,305500
全国,126146099,14955692,72922764,35335805
